date,Open,High,Low,Close,Volume
2025-04-16,222.7,226.85,220.65,225.95,870619.0
2025-04-15,217.8,222.75,214.35,221.9,591013.0
2025-04-11,216.25,217.8,212.5,212.8,372389.0
2025-04-09,210.65,214.0,205.3,211.8,435748.0
2025-04-08,210.4,214.95,208.65,210.95,599192.0
2025-04-07,193.0,209.2,193.0,207.95,644575.0
2025-04-04,218.7,221.75,213.1,214.4,1110095.0
2025-04-03,208.55,220.4,208.55,218.7,788269.0
2025-04-02,212.75,213.4,207.35,212.5,653167.0
2025-04-01,215.95,215.95,210.1,211.8,536076.0
2025-03-28,215.0,221.25,214.15,216.05,1444524.0
2025-03-27,210.1,216.65,208.75,214.45,325040.0
2025-03-26,214.05,215.95,209.8,210.4,569879.0
2025-03-25,219.95,221.9,212.95,213.5,524257.0
2025-03-24,214.8,220.45,212.85,217.4,611115.0
2025-03-21,206.25,213.65,206.25,211.8,611142.0
2025-03-20,206.7,207.9,202.45,206.45,627361.0
2025-03-19,205.6,207.8,204.3,206.0,681782.0
2025-03-18,197.15,204.5,196.1,203.9,510370.0
2025-03-17,194.45,197.2,193.0,195.3,387857.0
2025-03-13,195.65,197.4,192.9,193.35,342913.0
2025-03-12,195.95,196.5,188.85,193.6,260201.0
2025-03-11,190.0,195.3,187.95,194.05,486952.0
2025-03-10,198.0,200.5,191.6,192.0,449560.0
2025-03-07,198.5,201.1,196.1,196.7,675190.0
2025-03-06,197.55,201.5,197.0,198.4,862155.0
2025-03-05,191.5,198.0,191.5,196.1,476582.0
2025-03-04,183.8,193.25,180.8,192.35,765208.0
2025-03-03,180.0,186.6,176.0,185.45,839156.0
2025-02-28,183.4,186.5,177.55,178.9,563270.0
2025-02-27,194.85,195.3,186.35,187.3,384443.0
2025-02-25,191.85,196.25,187.8,194.6,511525.0
2025-02-24,192.95,194.75,190.5,191.35,415412.0
2025-02-21,200.0,202.15,195.55,196.3,323430.0
2025-02-20,193.95,201.6,192.8,200.15,756208.0
2025-02-19,184.9,195.6,183.3,195.1,768800.0
2025-02-18,193.95,194.55,183.6,186.5,903778.0
2025-02-17,193.85,195.85,188.4,193.45,594950.0
2025-02-14,203.15,203.75,191.05,193.15,569829.0
2025-02-13,199.5,205.4,199.05,201.55,473211.0
2025-02-12,200.95,200.95,190.1,198.8,955550.0
2025-02-11,203.05,204.05,193.8,199.45,684987.0
2025-02-10,209.15,209.9,201.65,202.9,1192436.0
2025-02-07,204.8,206.4,201.35,202.85,319392.0
2025-02-06,211.4,211.4,204.05,204.8,318296.0
2025-02-05,207.55,212.55,206.55,209.0,543385.0
2025-02-04,198.0,207.85,198.0,206.65,762451.0
2025-02-03,198.05,198.05,189.65,196.15,880754.0
2025-02-01,210.65,214.4,196.8,199.85,1890649.0
2025-01-31,198.75,208.8,195.9,208.15,1132768.0
2025-01-30,201.85,201.85,194.1,196.3,810235.0
2025-01-29,185.25,200.45,185.2,199.9,1391748.0
2025-01-28,195.4,197.45,186.1,187.6,650932.0
2025-01-27,198.75,200.0,193.0,194.35,664550.0
2025-01-24,206.6,208.6,199.5,200.2,323632.0
2025-01-23,204.8,208.0,203.3,206.15,239123.0
2025-01-22,210.0,210.5,199.35,205.25,459048.0
2025-01-21,217.6,218.3,208.9,209.4,252357.0
2025-01-20,216.55,218.6,213.1,216.85,314989.0
2025-01-17,210.6,214.5,208.05,213.95,708467.0
2025-01-16,205.3,211.65,205.0,210.6,669777.0
2025-01-15,199.85,205.35,198.0,202.25,851095.0
2025-01-14,193.05,199.5,191.85,197.3,862540.0
2025-01-13,200.4,200.95,191.8,192.6,1298589.0
2025-01-10,216.15,216.7,203.15,204.5,1275540.0
2025-01-09,224.0,224.0,215.8,216.4,466037.0
2025-01-08,225.1,227.5,217.85,222.05,477490.0
2025-01-07,220.4,226.15,218.6,224.85,348011.0
2025-01-06,230.6,231.1,219.1,219.8,452989.0
2025-01-03,233.85,236.85,229.6,229.95,443456.0
2025-01-02,234.65,234.65,227.6,232.7,324262.0
2025-01-01,230.95,234.0,227.5,233.2,246012.0
2024-12-31,226.0,231.5,225.6,229.3,1351380.0
2024-12-30,235.45,236.0,223.65,225.85,851422.0
2024-12-27,241.8,242.75,234.9,235.45,574689.0
2024-12-26,239.6,242.5,238.15,241.8,292102.0
2024-12-24,242.2,243.65,238.8,239.25,324797.0
2024-12-23,239.45,243.65,235.0,240.45,558924.0
2024-12-20,242.4,244.9,234.55,235.25,829481.0
2024-12-19,231.8,242.9,231.8,242.25,689652.0
2024-12-18,242.8,243.6,237.7,239.9,551944.0
2024-12-17,246.1,250.4,241.4,242.35,533872.0
2024-12-16,243.0,248.2,242.4,247.7,344332.0
2024-12-13,244.8,244.8,237.4,242.6,607033.0
2024-12-12,254.95,254.95,244.0,244.5,851542.0
2024-12-11,251.0,254.4,248.65,253.8,393686.0
